id,code,city_id/id,name
state_city.res_state_kecamatan93,res_state_kecamatan93,state_city.res_state_city7,Tamiang Hulu
state_city.res_state_kecamatan94,res_state_kecamatan94,state_city.res_state_city7,Tenggulun
state_city.res_state_kecamatan95,res_state_kecamatan95,state_city.res_state_city8,Atu Lintang
state_city.res_state_kecamatan96,res_state_kecamatan96,state_city.res_state_city8,Bebesen
state_city.res_state_kecamatan97,res_state_kecamatan97,state_city.res_state_city8,Bies
state_city.res_state_kecamatan98,res_state_kecamatan98,state_city.res_state_city8,Bintang
state_city.res_state_kecamatan99,res_state_kecamatan99,state_city.res_state_city8,Celala
state_city.res_state_kecamatan100,res_state_kecamatan100,state_city.res_state_city8,Jagong Jeget
state_city.res_state_kecamatan101,res_state_kecamatan101,state_city.res_state_city8,Kebayakan
state_city.res_state_kecamatan102,res_state_kecamatan102,state_city.res_state_city8,Ketol
state_city.res_state_kecamatan103,res_state_kecamatan103,state_city.res_state_city8,Kute Panang
state_city.res_state_kecamatan104,res_state_kecamatan104,state_city.res_state_city8,Linge
state_city.res_state_kecamatan105,res_state_kecamatan105,state_city.res_state_city8,Lut Tawar
state_city.res_state_kecamatan106,res_state_kecamatan106,state_city.res_state_city8,Pegasing
state_city.res_state_kecamatan107,res_state_kecamatan107,state_city.res_state_city8,Rusip Antara
state_city.res_state_kecamatan108,res_state_kecamatan108,state_city.res_state_city8,Silih Nara
state_city.res_state_kecamatan109,res_state_kecamatan109,state_city.res_state_city9,Babul Makmur
state_city.res_state_kecamatan110,res_state_kecamatan110,state_city.res_state_city9,Babul Rahmah
state_city.res_state_kecamatan111,res_state_kecamatan111,state_city.res_state_city9,Babussalam
state_city.res_state_kecamatan112,res_state_kecamatan112,state_city.res_state_city9,Badar
state_city.res_state_kecamatan113,res_state_kecamatan113,state_city.res_state_city9,Bambel
state_city.res_state_kecamatan114,res_state_kecamatan114,state_city.res_state_city9,Bukit Tusam
state_city.res_state_kecamatan115,res_state_kecamatan115,state_city.res_state_city9,Darul Hasanah
state_city.res_state_kecamatan116,res_state_kecamatan116,state_city.res_state_city9,Deleng Pokhisen
state_city.res_state_kecamatan117,res_state_kecamatan117,state_city.res_state_city9,Ketambe
state_city.res_state_kecamatan118,res_state_kecamatan118,state_city.res_state_city9,Lawe Alas
state_city.res_state_kecamatan119,res_state_kecamatan119,state_city.res_state_city9,Lawe Bulan
state_city.res_state_kecamatan120,res_state_kecamatan120,state_city.res_state_city9,Lawe Sigala-Gala
state_city.res_state_kecamatan121,res_state_kecamatan121,state_city.res_state_city9,Lawe Sumur
state_city.res_state_kecamatan122,res_state_kecamatan122,state_city.res_state_city9,Leuser
state_city.res_state_kecamatan123,res_state_kecamatan123,state_city.res_state_city9,Semadam
state_city.res_state_kecamatan124,res_state_kecamatan124,state_city.res_state_city9,Tanah Alas
state_city.res_state_kecamatan125,res_state_kecamatan125,state_city.res_state_city10,Banda Alam
state_city.res_state_kecamatan126,res_state_kecamatan126,state_city.res_state_city10,Birem Bayeun
state_city.res_state_kecamatan127,res_state_kecamatan127,state_city.res_state_city10,Darul Aman
state_city.res_state_kecamatan128,res_state_kecamatan128,state_city.res_state_city10,Darul Falah
state_city.res_state_kecamatan129,res_state_kecamatan129,state_city.res_state_city10,Darul Iksan (Ihsan)
state_city.res_state_kecamatan130,res_state_kecamatan130,state_city.res_state_city10,Idi Rayeuk
state_city.res_state_kecamatan131,res_state_kecamatan131,state_city.res_state_city10,Idi Timur
state_city.res_state_kecamatan132,res_state_kecamatan132,state_city.res_state_city10,Idi Tunong
state_city.res_state_kecamatan133,res_state_kecamatan133,state_city.res_state_city10,Indra Makmur
state_city.res_state_kecamatan134,res_state_kecamatan134,state_city.res_state_city10,Julok
state_city.res_state_kecamatan135,res_state_kecamatan135,state_city.res_state_city10,Madat
state_city.res_state_kecamatan136,res_state_kecamatan136,state_city.res_state_city10,Nurussalam
state_city.res_state_kecamatan137,res_state_kecamatan137,state_city.res_state_city10,Pante Bidari
state_city.res_state_kecamatan138,res_state_kecamatan138,state_city.res_state_city10,Peudawa
state_city.res_state_kecamatan139,res_state_kecamatan139,state_city.res_state_city10,Peunaron
state_city.res_state_kecamatan140,res_state_kecamatan140,state_city.res_state_city10,Peureulak
state_city.res_state_kecamatan141,res_state_kecamatan141,state_city.res_state_city10,Peureulak Barat
state_city.res_state_kecamatan142,res_state_kecamatan142,state_city.res_state_city10,Peureulak Timur
state_city.res_state_kecamatan143,res_state_kecamatan143,state_city.res_state_city10,Rantau Selamat
state_city.res_state_kecamatan144,res_state_kecamatan144,state_city.res_state_city10,Ranto Peureulak
state_city.res_state_kecamatan145,res_state_kecamatan145,state_city.res_state_city10,Serbajadi
state_city.res_state_kecamatan146,res_state_kecamatan146,state_city.res_state_city10,Simpang Jernih
state_city.res_state_kecamatan147,res_state_kecamatan147,state_city.res_state_city10,Simpang Ulim
state_city.res_state_kecamatan148,res_state_kecamatan148,state_city.res_state_city10,Sungai Raya
state_city.res_state_kecamatan149,res_state_kecamatan149,state_city.res_state_city11,Baktiya
state_city.res_state_kecamatan150,res_state_kecamatan150,state_city.res_state_city11,Baktiya Barat
state_city.res_state_kecamatan151,res_state_kecamatan151,state_city.res_state_city11,Banda Baro
state_city.res_state_kecamatan152,res_state_kecamatan152,state_city.res_state_city11,Cot Girek
state_city.res_state_kecamatan153,res_state_kecamatan153,state_city.res_state_city11,Dewantara
state_city.res_state_kecamatan154,res_state_kecamatan154,state_city.res_state_city11,Geuredong Pase
state_city.res_state_kecamatan155,res_state_kecamatan155,state_city.res_state_city11,Kuta Makmur
state_city.res_state_kecamatan156,res_state_kecamatan156,state_city.res_state_city11,Langkahan
state_city.res_state_kecamatan157,res_state_kecamatan157,state_city.res_state_city11,Lapang
state_city.res_state_kecamatan158,res_state_kecamatan158,state_city.res_state_city11,Lhoksukon
state_city.res_state_kecamatan159,res_state_kecamatan159,state_city.res_state_city11,Matangkuli
state_city.res_state_kecamatan160,res_state_kecamatan160,state_city.res_state_city11,Meurah Mulia
state_city.res_state_kecamatan161,res_state_kecamatan161,state_city.res_state_city11,Muara Batu
state_city.res_state_kecamatan162,res_state_kecamatan162,state_city.res_state_city11,Nibong
state_city.res_state_kecamatan163,res_state_kecamatan163,state_city.res_state_city11,Nisam
state_city.res_state_kecamatan164,res_state_kecamatan164,state_city.res_state_city11,Nisam Antara
state_city.res_state_kecamatan165,res_state_kecamatan165,state_city.res_state_city11,Paya Bakong
state_city.res_state_kecamatan166,res_state_kecamatan166,state_city.res_state_city11,Pirak Timur
state_city.res_state_kecamatan167,res_state_kecamatan167,state_city.res_state_city11,Samudera
state_city.res_state_kecamatan168,res_state_kecamatan168,state_city.res_state_city11,Sawang
state_city.res_state_kecamatan169,res_state_kecamatan169,state_city.res_state_city11,Seunuddon (Seunudon)
